index,predicted_sales
272371,0.0
558468,0.0
76950,5986.0
77556,8259.0
456344,5359.0
436466,3907.0
646251,4339.0
650464,7421.0
162710,0.0
100327,7674.0
374540,7782.0
399143,4280.0
44740,0.0
674144,7348.0
81595,5792.0
416724,4190.0
632687,12227.0
351899,6437.0
515940,4909.0
567411,6048.0
274598,0.0
417880,17544.0
453710,5511.0
597622,0.0
223346,8406.0
630018,0.0
355860,7410.0
360080,3167.0
129544,12014.0
422545,0.0
174199,5791.0
118613,0.0
60310,11044.0
328458,6316.0
200661,4960.0
179581,7689.0
587612,0.0
320169,8099.0
37194,6385.0
685427,4409.0
125422,9415.0
24499,3217.0
281806,8149.0
540511,3841.0
28689,3107.0
165066,8917.0
555963,4916.0
610614,8844.0
64013,9680.0
30639,13295.0
418604,10017.0
468037,6205.0
271589,5293.0
77924,3686.0
247149,5780.0
576822,4019.0
108538,6508.0
645670,6359.0
601663,3399.0
502588,7857.0
66732,4547.0
627113,6806.0
691184,7029.0
467913,11011.0
304890,6494.0
274018,5667.0
644430,7465.0
669009,7168.0
518722,6751.0
505976,6257.0
291572,5900.0
39071,3053.0
319154,6011.0
166603,3131.0
428262,8263.0
20314,4636.0
603091,3484.0
500421,8741.0
388016,0.0
268257,6620.0
216326,8065.0
40755,2845.0
8654,6532.5
37301,7747.0
485623,8585.0
214073,9366.0
406145,2402.0
397642,3903.0
273960,9966.0
12104,2058.0
361202,3702.5
79347,7457.0
462803,5317.0
141713,8397.0
703618,3310.0
308360,7798.0
317995,7484.0
364408,6880.0
27886,8976.0
706814,0.0
514516,2916.0
577373,10438.0
190561,7440.0
92512,11749.0
565163,7704.0
500246,5465.0
223708,3285.0
555732,6213.0
654150,4047.0
558350,4231.0
52167,5886.0
296981,3824.0
332143,7283.0
426553,5255.0
481847,9446.0
100496,11681.0
706377,6254.0
599169,5389.0
55294,6838.0
218737,4761.0
266706,5904.0
441953,7384.0
127184,7225.0
312223,10016.0
583377,8631.0
523743,10163.0
476775,0.0
620142,7343.0
460092,3437.0
169260,5475.0
177084,6637.0
645354,5661.0
645737,10984.0
272578,8368.0
600374,14272.0
566038,6741.0
381862,0.0
535335,8991.0
499411,7915.0
625219,4910.0
61823,0.0
653471,5037.0
441789,7744.0
155435,9084.0
226567,8300.0
107330,4846.0
149417,4328.0
191690,6080.0
146544,0.0
383603,7016.0
452941,4297.0
629103,8308.0
30258,7670.0
219501,6221.0
528607,11648.0
397525,4764.0
314281,4741.0
489418,7406.0
182776,0.0
335928,12035.0
198358,9714.0
400219,0.0
427476,7794.0
31892,5898.0
109374,6695.0
385320,4510.0
517169,6550.0
369733,8899.0
71343,7027.0
42363,6325.0
612665,2489.0
428563,7448.0
610249,6779.0
669222,7830.0
484348,13364.0
194089,13524.0
328888,8219.0
485880,5252.0
699868,5412.0
265929,5769.0
154648,3724.0
376328,5784.0
530275,13186.0
441109,5103.0
26050,0.0
247671,0.0
615467,5840.0
267972,9869.0
22318,3912.0
430083,5089.0
510014,13633.0
343803,3880.0
85161,4367.0
505852,6237.0
266131,4450.0
397091,13021.0
112013,0.0
492019,0.0
73240,7013.0
203948,7590.0
603210,0.0
82813,0.0
634511,7535.0
28171,6685.0
198571,9950.0
70073,0.0
551321,12910.0
509286,4698.0
24413,10213.0
367168,17752.0
103724,5525.0
704886,6286.0
568270,5562.0
627934,12944.0
520091,6357.0
505933,3256.0
67603,4747.0
96570,5519.0
696883,0.0
216455,2775.0
472114,13129.0
437836,5042.0
467331,17789.0
423483,6250.0
533535,8724.0
82465,5195.5
245480,7198.0
155723,3856.0
167485,7225.0
574217,3683.0
307718,4947.0
250666,3625.0
233447,14883.0
9408,15178.0
532318,7294.0
213221,11731.0
149118,5502.0
643815,4039.0
205464,6009.0
172737,6082.0
358803,7523.0
432064,15382.0
243176,3522.0
165487,7578.0
206630,15276.0
380228,7013.0
278339,7305.0
125602,5411.0
707930,6084.0
647013,5777.0
404917,0.0
607690,11018.0
63394,0.0
334403,8473.0
440195,0.0
87636,6105.0
189540,4641.0
18218,3396.0
396021,9178.0
442052,6446.0
397202,5055.0
251121,13319.0
463013,0.0
655331,4349.0
327407,3948.0
355157,0.0
654124,6705.0
602473,10962.0
414480,7632.0
574764,11826.0
136740,11202.0
240843,5544.0
130323,0.0
688030,5963.0
43133,10630.0
172856,5059.0
446048,0.0
36534,4061.0
612801,4677.0
256750,5483.0
623446,6513.0
63314,9070.0
238452,1668.0
43919,13663.0
258378,5624.5
59774,6371.0
31637,5212.0
673741,3634.0
659942,4335.0
349639,5979.0
394865,6106.0
255648,5162.0
379128,6846.0
540897,6420.0
662220,4275.0
160268,4182.0
654290,7400.0
599039,9512.0
651027,0.0
553569,6881.0
271750,8507.0
709864,5361.0
300796,2778.0
413674,6268.0
8402,5431.0
310059,3437.0
319105,6234.0
689752,5074.0
516276,7855.5
338342,5151.0
666229,6368.0
8353,0.0
386012,0.0
471619,5810.0
612347,5914.0
514445,11434.0
396179,8516.0
590638,6679.0
683448,3195.0
218062,3606.0
706606,4825.0
453487,7454.0
240904,0.0
326681,6026.5
272937,10099.0
11415,0.0
436957,3866.0
171033,4420.0
632521,3338.0
179002,0.0
345971,4729.0
463457,6488.0
674866,7823.0
479231,0.0
369184,4645.0
564608,8641.0
421305,4472.0
312789,18005.0
548456,7271.0
195259,3617.0
669573,8290.0
599293,4345.0
33900,5208.0
74619,3767.0
284898,5208.0
402135,0.0
447277,4197.0
588164,11603.0
456931,6474.0
221701,5459.0
535271,8894.0
171677,8195.0
226127,5103.0
414979,10462.0
500051,0.0
329177,4580.0
541113,4549.0
124681,5201.0
284177,0.0
90749,8163.0
237894,5155.0
506152,4220.0
622882,0.0
34430,9194.0
268594,5095.0
368485,4549.0
602478,7202.0
202788,8321.0
675955,6336.0
611958,7483.0
597571,2993.0
317074,0.0
380943,3836.0
649251,0.0
386136,0.0
411910,14621.0
119756,6571.0
251963,3681.0
292719,10661.0
77065,5530.0
206967,6003.0
521339,3664.0
363365,0.0
481077,4121.0
711386,10023.0
66970,7263.0
435729,3923.0
426284,5902.0
435236,7714.0
199039,2982.0
99250,2903.5
580140,5668.0
254820,12939.0
155130,5079.0
503682,4945.0
288534,8989.0
67050,5157.0
174771,9110.0
442288,6308.0
606734,7034.0
431156,9128.0
